Sample No.,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,Key
1,0,0,0,0,0,0,0,0,0,0,0,1,1
2,0,0,0,0,0,0,0,0,0,0,0,1,3
3,0,0,0,0,0,0,0,0,0,0,0,1,7
4,0,0,0,0,0,0,0,0,0,0,0,1,8
5,0,0,0,0,0,0,0,0,0,0,0,1,17
6,0,0,0,0,0,0,0,0,0,0,0,1,22
7,0,0,0,0,0,0,0,0,0,0,0,1,24
8,0,0,0,0,0,0,0,0,0,0,1,0,2
9,0,0,0,0,0,0,0,0,0,0,1,0,12
10,0,0,0,0,0,0,0,0,0,0,1,0,15
11,0,0,0,0,0,0,0,0,0,0,1,0,16
12,0,0,0,0,0,0,0,0,0,0,1,0,18
13,0,0,0,0,0,0,0,0,0,0,1,0,23
14,0,0,0,0,0,0,0,0,0,0.331932773,0,0.668067227,8
15,0,0,0,0,0,0,0,0,0,1,0,0,3
16,0,0,0,0,0,0,0,0,0,1,0,0,15
17,0,0,0,0,0,0,0,0,0,1,0,0,22
18,0,0,0,0,0,0,0,0,0.037141958,0.327352849,0.2700661,0.365439093,3
19,0,0,0,0,0,0,0,0,0.037141958,0.327352849,0.2700661,0.365439093,3
20,0,0,0,0,0,0,0,0,0.125,0,0.875,0,15
21,0,0,0,0,0,0,0,0,0.174983367,0.825016633,0,0,3
22,0,0,0,0,0,0,0,0,0.22972973,0,0.77027027,0,13
23,0,0,0,0,0,0,0,0,0.22972973,0,0.77027027,0,13
24,0,0,0,0,0,0,0,0,0.452476573,0,0.547523427,0,23
25,0,0,0,0,0,0,0,0,0.479907264,0,0.520092736,0,23
26,0,0,0,0,0,0,0,0,0.499560092,0,0.500439908,0,23
27,0,0,0,0,0,0,0,0,0.502207311,0,0.497792689,0,23
28,0,0,0,0,0,0,0,0,0.551573427,0,0.448426573,0,23
29,0,0,0,0,0,0,0,0,0.621787026,0,0,0.378212974,21
30,0,0,0,0,0,0,0,0,1,0,0,0,9
31,0,0,0,0,0,0,0,0,1,0,0,0,14
32,0,0,0,0,0,0,0,0,1,0,0,0,16
33,0,0,0,0,0,0,0,0,1,0,0,0,18
34,0,0,0,0,0,0,0,0,1,0,0,0,19
35,0,0,0,0,0,0,0,0,1,0,0,0,23
36,0,0,0,0,0,0,0,0.082463466,0.917536534,0,0,0,13
37,0,0,0,0,0,0,0,0.082463466,0.917536534,0,0,0,13
38,0,0,0,0,0,0,0,0.5,0,0,0.5,0,15
39,0,0,0,0,0,0,0,0.806363636,0,0,0.193636364,0,20
40,0,0,0,0,0,0,0,1,0,0,0,0,1
41,0,0,0,0,0,0,0,1,0,0,0,0,8
42,0,0,0,0,0,0,0,1,0,0,0,0,9
43,0,0,0,0,0,0,0,1,0,0,0,0,13
44,0,0,0,0,0,0,0,1,0,0,0,0,20
45,0,0,0,0,0,0,0.125,0.125,0.125,0.625,0,0,22
46,0,0,0,0,0,0,0.151948052,0.46525974,0,0.231493506,0,0.151298701,17
47,0,0,0,0,0,0,0.154572271,0,0,0.202556539,0,0.64287119,5
48,0,0,0,0,0,0,0.190559441,0,0,0.190559441,0,0.618881119,17
49,0,0,0,0,0,0,0.279652975,0,0.031855768,0,0,0.688491257,5
50,0,0,0,0,0,0,0.279652975,0,0.031855768,0,0,0.688491257,5
51,0,0,0,0,0,0,0.28604483,0,0.016992046,0,0,0.696963124,5
52,0,0,0,0,0,0,0.289566755,0,0,0,0.026304156,0.684129089,7
53,0,0,0,0,0,0,0.332268371,0,0,0.667731629,0,0,3
54,0,0,0,0,0,0,0.344303797,0,0,0.655696203,0,0,3
55,0,0,0,0,0,0,0.381294964,0.136690647,0,0.273381295,0,0.208633094,3
56,0,0,0,0,0,0,0.396780303,0,0,0,0,0.603219697,7
57,0,0,0,0,0,0,0.409090909,0,0.363636364,0,0,0.227272727,5
58,0,0,0,0,0,0,0.411449016,0.085867621,0,0.398926655,0,0.103756708,3
59,0,0,0,0,0,0,0.431226766,0,0,0.568773234,0,0,3
60,0,0,0,0,0,0,0.445901639,0,0,0.554098361,0,0,3
61,0,0,0,0,0,0,0.471441523,0,0,0,0,0.528558477,5
62,0,0,0,0,0,0,0.48951049,0,0,0.51048951,0,0,3
63,0,0,0,0,0,0,0.495788972,0,0,0,0,0.504211028,5
64,0,0,0,0,0,0,0.5,0,0,0,0.5,0,5
65,0,0,0,0,0,0,0.5,0,0,0,0.5,0,7
66,0,0,0,0,0,0,0.5,0,0.5,0,0,0,16
67,0,0,0,0,0,0,0.503773844,0,0,0,0,0.496226156,5
68,0,0,0,0,0,0,0.583829787,0.338723404,0,0.077446809,0,0,3
69,0,0,0,0,0,0,0.786307648,0.065883701,0,0,0.065310799,0.082497852,24
70,0,0,0,0,0,0,1,0,0,0,0,0,3
71,0,0,0,0,0,0,1,0,0,0,0,0,7
72,0,0,0,0,0,0,1,0,0,0,0,0,19
73,0,0,0,0,0,0.032258065,0,0,0.516129032,0,0.451612903,0,18
74,0,0,0,0,0,0.054054054,0,0,0.567567568,0,0.378378378,0,18
75,0,0,0,0,0,0.057142857,0,0,0.571428571,0,0.371428571,0,18
76,0,0,0,0,0,0.057692308,0,0,0.538461538,0,0.403846154,0,18
77,0,0,0,0,0,0.058823529,0,0,0.5,0,0.441176471,0,18
78,0,0,0,0,0,0.058823529,0,0,0.558823529,0,0.382352941,0,18
79,0,0,0,0,0,0.06122449,0,0,0.510204082,0,0.428571429,0,18
80,0,0,0,0,0,0.082463466,0,0.917536534,0,0,0,0,13
81,0,0,0,0,0,0.082463466,0,0.917536534,0,0,0,0,13
82,0,0,0,0,0,0.084210526,0,0,0.473684211,0,0.442105263,0,18
83,0,0,0,0,0,0.097826087,0,0,0.445652174,0,0.456521739,0,18
84,0,0,0,0,0,0.142857143,0,0,0.428571429,0,0.428571429,0,18
85,0,0,0,0,0,0.201771031,0,0,0,0,0.798228969,0,16
86,0,0,0,0,0,0.206391753,0,0.131546392,0.265979381,0,0.396082474,0,18
87,0,0,0,0,0,0.206710853,0,0.132352941,0.265534383,0,0.395401823,0,18
88,0,0,0,0,0,0.240299523,0.526208305,0,0,0.233492172,0,0,23
89,0,0,0,0,0,0.245614035,0.515269656,0,0,0.239116309,0,0,23
90,0,0,0,0,0,0.267716535,0,0,0.125984252,0,0.606299213,0,18
91,0,0,0,0,0,0.278118609,0.460804363,0,0,0.261077028,0,0,23
92,0,0,0,0,0,0.30821256,0,0,0,0,0.69178744,0,16
93,0,0,0,0,0,0.337887911,0.662112089,0,0,0,0,0,23
94,0,0,0,0,0,0.390196078,0.07254902,0.331372549,0.205882353,0,0,0,13
95,0,0,0,0,0,0.4,0,0,0,0,0.6,0,16
96,0,0,0,0,0,0.44606221,0,0,0,0,0.55393779,0,16
97,0,0,0,0,0,0.5,0,0,0.411764706,0,0.088235294,0,18
98,0,0,0,0,0,0.559782609,0,0,0,0.440217391,0,0,15
99,0,0,0,0,0,0.579259259,0,0,0.051851852,0,0.368888889,0,18
100,0,0,0,0,0,0.58685446,0,0,0,0.41314554,0,0,15
