Sample No.,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,Key
1,0,0,0,0,0,0,0,0,0,0,0,1,1
2,0,0,0,0,0,0,0,0,0,0,0,1,3
3,0,0,0,0,0,0,0,0,0,0,0,1,7
4,0,0,0,0,0,0,0,0,0,0,0,1,8
5,0,0,0,0,0,0,0,0,0,0,0,1,17
6,0,0,0,0,0,0,0,0,0,0,0,1,22
7,0,0,0,0,0,0,0,0,0,0,0,1,24
8,0,0,0,0,0,0,0,0,0,0,1,0,2
9,0,0,0,0,0,0,0,0,0,0,1,0,12
10,0,0,0,0,0,0,0,0,0,0,1,0,15
11,0,0,0,0,0,0,0,0,0,0,1,0,16
12,0,0,0,0,0,0,0,0,0,0,1,0,18
13,0,0,0,0,0,0,0,0,0,0,1,0,23
14,0,0,0,0,0,0,0,0,0,1,0,0,3
15,0,0,0,0,0,0,0,0,0,1,0,0,15
16,0,0,0,0,0,0,0,0,0,1,0,0,22
17,0,0,0,0,0,0,0,0,0,1,0,1,8
18,0,0,0,0,0,0,0,0,1,0,0,0,9
19,0,0,0,0,0,0,0,0,1,0,0,0,14
20,0,0,0,0,0,0,0,0,1,0,0,0,16
21,0,0,0,0,0,0,0,0,1,0,0,0,18
22,0,0,0,0,0,0,0,0,1,0,0,0,19
23,0,0,0,0,0,0,0,0,1,0,0,0,23
24,0,0,0,0,0,0,0,0,1,0,0,1,21
25,0,0,0,0,0,0,0,0,1,0,1,0,13
26,0,0,0,0,0,0,0,0,1,0,1,0,15
27,0,0,0,0,0,0,0,0,1,0,1,0,23
28,0,0,0,0,0,0,0,0,1,1,0,0,3
29,0,0,0,0,0,0,0,0,1,1,1,1,3
30,0,0,0,0,0,0,0,1,0,0,0,0,1
31,0,0,0,0,0,0,0,1,0,0,0,0,8
32,0,0,0,0,0,0,0,1,0,0,0,0,9
33,0,0,0,0,0,0,0,1,0,0,0,0,13
34,0,0,0,0,0,0,0,1,0,0,0,0,20
35,0,0,0,0,0,0,0,1,0,0,1,0,15
36,0,0,0,0,0,0,0,1,0,0,1,0,20
37,0,0,0,0,0,0,0,1,1,0,0,0,13
38,0,0,0,0,0,0,1,0,0,0,0,0,3
39,0,0,0,0,0,0,1,0,0,0,0,0,7
40,0,0,0,0,0,0,1,0,0,0,0,0,19
41,0,0,0,0,0,0,1,0,0,0,0,1,5
42,0,0,0,0,0,0,1,0,0,0,0,1,7
43,0,0,0,0,0,0,1,0,0,0,1,0,5
44,0,0,0,0,0,0,1,0,0,0,1,0,7
45,0,0,0,0,0,0,1,0,0,0,1,1,7
46,0,0,0,0,0,0,1,0,0,1,0,0,3
47,0,0,0,0,0,0,1,0,0,1,0,1,5
48,0,0,0,0,0,0,1,0,0,1,0,1,17
49,0,0,0,0,0,0,1,0,1,0,0,0,16
50,0,0,0,0,0,0,1,0,1,0,0,1,5
51,0,0,0,0,0,0,1,1,0,0,1,1,24
52,0,0,0,0,0,0,1,1,0,1,0,0,3
53,0,0,0,0,0,0,1,1,0,1,0,1,3
54,0,0,0,0,0,0,1,1,0,1,0,1,17
55,0,0,0,0,0,0,1,1,1,1,0,0,22
56,0,0,0,0,0,1,0,0,0,0,0,0,6
57,0,0,0,0,0,1,0,0,0,0,0,0,15
58,0,0,0,0,0,1,0,0,0,0,0,0,18
59,0,0,0,0,0,1,0,0,0,0,1,0,16
60,0,0,0,0,0,1,0,0,0,1,0,0,15
61,0,0,0,0,0,1,0,0,1,0,1,0,18
62,0,0,0,0,0,1,0,1,0,0,0,0,13
63,0,0,0,0,0,1,0,1,1,0,1,0,18
64,0,0,0,0,0,1,1,0,0,0,0,0,23
65,0,0,0,0,0,1,1,0,0,1,0,0,23
66,0,0,0,0,0,1,1,1,1,0,0,0,13
67,0,0,0,0,0,1,1,1,1,0,0,0,22
68,0,0,0,0,1,0,0,0,0,0,0,0,5
69,0,0,0,0,1,0,0,0,0,0,0,0,14
70,0,0,0,0,1,0,0,0,0,0,0,0,17
71,0,0,0,0,1,0,0,0,0,0,0,1,5
72,0,0,0,0,1,0,0,0,0,0,0,1,17
73,0,0,0,0,1,0,0,0,0,0,0,1,19
74,0,0,0,0,1,0,0,0,0,0,0,1,22
75,0,0,0,0,1,0,0,0,0,0,0,1,24
76,0,0,0,0,1,0,0,0,0,1,0,0,3
77,0,0,0,0,1,0,0,0,0,1,0,0,5
78,0,0,0,0,1,0,0,0,0,1,0,0,15
79,0,0,0,0,1,0,0,0,0,1,0,0,16
80,0,0,0,0,1,0,0,0,0,1,0,0,19
81,0,0,0,0,1,0,0,0,0,1,0,0,22
82,0,0,0,0,1,0,0,0,0,1,0,1,5
83,0,0,0,0,1,0,0,0,0,1,0,1,17
84,0,0,0,0,1,0,0,0,0,1,0,1,24
85,0,0,0,0,1,0,0,0,0,1,1,0,16
86,0,0,0,0,1,0,0,0,1,0,0,1,5
87,0,0,0,0,1,0,0,0,1,0,0,1,7
88,0,0,0,0,1,0,0,0,1,0,0,1,10
89,0,0,0,0,1,0,0,0,1,0,0,1,12
90,0,0,0,0,1,0,0,0,1,0,0,1,19
91,0,0,0,0,1,0,0,0,1,0,0,1,22
92,0,0,0,0,1,0,0,0,1,0,0,1,24
93,0,0,0,0,1,0,0,0,1,1,0,1,5
94,0,0,0,0,1,0,0,0,1,1,0,1,10
95,0,0,0,0,1,0,0,0,1,1,0,1,19
96,0,0,0,0,1,0,0,1,0,0,0,0,13
97,0,0,0,0,1,0,0,1,0,0,0,0,17
98,0,0,0,0,1,0,0,1,0,0,0,1,1
99,0,0,0,0,1,0,0,1,0,0,0,1,3
100,0,0,0,0,1,0,0,1,0,0,0,1,8
101,0,0,0,0,1,0,0,1,0,0,0,1,17
102,0,0,0,0,1,0,0,1,0,0,0,1,22
103,0,0,0,0,1,0,0,1,0,0,0,1,24
104,0,0,0,0,1,0,0,1,0,1,0,0,15
105,0,0,0,0,1,0,0,1,0,1,0,0,17
106,0,0,0,0,1,0,0,1,0,1,0,0,22
107,0,0,0,0,1,0,0,1,0,1,0,1,1
108,0,0,0,0,1,0,0,1,0,1,0,1,8
109,0,0,0,0,1,0,0,1,0,1,0,1,17
110,0,0,0,0,1,0,0,1,0,1,0,1,22
111,0,0,0,0,1,0,0,1,1,0,0,1,24
112,0,0,0,0,1,0,1,0,0,0,0,0,5
113,0,0,0,0,1,0,1,0,0,0,0,0,19
114,0,0,0,0,1,0,1,0,0,0,0,1,5
115,0,0,0,0,1,0,1,0,0,0,1,0,24
116,0,0,0,0,1,0,1,0,0,1,0,0,22
117,0,0,0,0,1,0,1,0,0,1,0,1,5
118,0,0,0,0,1,0,1,0,0,1,1,0,24
119,0,0,0,0,1,0,1,0,1,0,0,1,5
120,0,0,0,0,1,0,1,0,1,0,0,1,10
121,0,0,0,0,1,0,1,0,1,0,0,1,17
122,0,0,0,0,1,0,1,0,1,0,0,1,19
123,0,0,0,0,1,0,1,0,1,0,0,1,21
124,0,0,0,0,1,0,1,0,1,0,1,1,7
125,0,0,0,0,1,0,1,0,1,1,0,0,10
126,0,0,0,0,1,0,1,0,1,1,0,0,19
