Sample No.,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,Key
1,0,0,0,0,0,0,0,0,0,0,0,1,1
2,0,0,0,0,0,0,0,0,0,0,0,1,3
3,0,0,0,0,0,0,0,0,0,0,0,1,7
4,0,0,0,0,0,0,0,0,0,0,0,1,8
5,0,0,0,0,0,0,0,0,0,0,0,1,17
6,0,0,0,0,0,0,0,0,0,0,0,1,22
7,0,0,0,0,0,0,0,0,0,0,0,1,24
8,0,0,0,0,0,0,0,0,0,0,1,0,2
9,0,0,0,0,0,0,0,0,0,0,1,0,12
10,0,0,0,0,0,0,0,0,0,0,1,0,15
11,0,0,0,0,0,0,0,0,0,0,1,0,16
12,0,0,0,0,0,0,0,0,0,0,1,0,18
13,0,0,0,0,0,0,0,0,0,0,1,0,23
14,0,0,0,0,0,0,0,0,0,0.5,0,0.5,8
15,0,0,0,0,0,0,0,0,0,1,0,0,3
16,0,0,0,0,0,0,0,0,0,1,0,0,15
17,0,0,0,0,0,0,0,0,0,1,0,0,22
18,0,0,0,0,0,0,0,0,0.060606061,0.303030303,0.363636364,0.272727273,3
19,0,0,0,0,0,0,0,0,0.125,0,0.875,0,15
20,0,0,0,0,0,0,0,0,0.5,0,0.5,0,13
21,0,0,0,0,0,0,0,0,0.5,0,0.5,0,23
22,0,0,0,0,0,0,0,0,0.5,0.5,0,0,3
23,0,0,0,0,0,0,0,0,0.666666667,0,0,0.333333333,21
24,0,0,0,0,0,0,0,0,0.666666667,0,0.333333333,0,23
25,0,0,0,0,0,0,0,0,1,0,0,0,9
26,0,0,0,0,0,0,0,0,1,0,0,0,14
27,0,0,0,0,0,0,0,0,1,0,0,0,16
28,0,0,0,0,0,0,0,0,1,0,0,0,18
29,0,0,0,0,0,0,0,0,1,0,0,0,19
30,0,0,0,0,0,0,0,0,1,0,0,0,23
31,0,0,0,0,0,0,0,0.5,0,0,0.5,0,15
32,0,0,0,0,0,0,0,0.5,0.5,0,0,0,13
33,0,0,0,0,0,0,0,0.8,0,0,0.2,0,20
34,0,0,0,0,0,0,0,1,0,0,0,0,1
35,0,0,0,0,0,0,0,1,0,0,0,0,8
36,0,0,0,0,0,0,0,1,0,0,0,0,9
37,0,0,0,0,0,0,0,1,0,0,0,0,13
38,0,0,0,0,0,0,0,1,0,0,0,0,20
39,0,0,0,0,0,0,0.125,0.125,0.125,0.625,0,0,22
40,0,0,0,0,0,0,0.2,0,0,0.2,0,0.6,5
41,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0.4,17
42,0,0,0,0,0,0,0.25,0,0.083333333,0,0,0.666666667,5
43,0,0,0,0,0,0,0.25,0,0.125,0,0,0.625,5
44,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0.25,24
45,0,0,0,0,0,0,0.25,0.5,0,0.25,0,0,3
46,0,0,0,0,0,0,0.277777778,0,0,0,0.027777778,0.694444444,7
47,0,0,0,0,0,0,0.333333333,0,0,0.333333333,0,0.333333333,17
48,0,0,0,0,0,0,0.333333333,0,0,0.666666667,0,0,3
49,0,0,0,0,0,0,0.333333333,0,0.5,0,0,0.166666667,5
50,0,0,0,0,0,0,0.333333333,0.166666667,0,0.333333333,0,0.166666667,3
51,0,0,0,0,0,0,0.363636364,0.090909091,0,0.454545455,0,0.090909091,3
52,0,0,0,0,0,0,0.4,0,0,0,0,0.6,5
53,0,0,0,0,0,0,0.5,0,0,0,0,0.5,5
54,0,0,0,0,0,0,0.5,0,0,0,0,0.5,7
55,0,0,0,0,0,0,0.5,0,0,0,0.5,0,5
56,0,0,0,0,0,0,0.5,0,0,0,0.5,0,7
57,0,0,0,0,0,0,0.5,0,0,0.5,0,0,3
58,0,0,0,0,0,0,0.5,0,0.5,0,0,0,16
59,0,0,0,0,0,0,1,0,0,0,0,0,3
60,0,0,0,0,0,0,1,0,0,0,0,0,7
61,0,0,0,0,0,0,1,0,0,0,0,0,19
62,0,0,0,0,0,0.052631579,0,0,0,0,0.947368421,0,16
63,0,0,0,0,0,0.083333333,0,0,0.583333333,0,0.333333333,0,18
64,0,0,0,0,0,0.133333333,0,0,0.533333333,0,0.333333333,0,18
65,0,0,0,0,0,0.133333333,0,0,0.6,0,0.266666667,0,18
66,0,0,0,0,0,0.133333333,0,0.133333333,0.2,0,0.533333333,0,18
67,0,0,0,0,0,0.142857143,0,0,0.571428571,0,0.285714286,0,18
68,0,0,0,0,0,0.1875,0,0,0.4375,0,0.375,0,18
69,0,0,0,0,0,0.2,0,0,0,0,0.8,0,16
70,0,0,0,0,0,0.230769231,0,0,0.461538462,0,0.307692308,0,18
71,0,0,0,0,0,0.25,0.5,0,0,0.25,0,0,23
72,0,0,0,0,0,0.285714286,0,0,0.428571429,0,0.285714286,0,18
73,0,0,0,0,0,0.333333333,0.333333333,0,0,0.333333333,0,0,23
74,0,0,0,0,0,0.375,0,0,0.5,0,0.125,0,18
75,0,0,0,0,0,0.388888889,0,0,0.277777778,0,0.333333333,0,18
76,0,0,0,0,0,0.4,0,0,0,0,0.6,0,16
77,0,0,0,0,0,0.4,0,0,0.2,0,0.4,0,18
78,0,0,0,0,0,0.421052632,0,0,0.210526316,0,0.368421053,0,18
79,0,0,0,0,0,0.470588235,0,0,0,0,0.529411765,0,16
80,0,0,0,0,0,0.5,0,0,0,0.5,0,0,15
81,0,0,0,0,0,0.5,0,0.5,0,0,0,0,13
82,0,0,0,0,0,0.5,0.166666667,0.166666667,0.166666667,0,0,0,13
83,0,0,0,0,0,0.5,0.5,0,0,0,0,0,23
84,0,0,0,0,0,0.625,0.125,0.125,0.125,0,0,0,22
85,0,0,0,0,0,1,0,0,0,0,0,0,6
86,0,0,0,0,0,1,0,0,0,0,0,0,15
87,0,0,0,0,0,1,0,0,0,0,0,0,18
88,0,0,0,0,0.038461538,0,0.461538462,0,0,0,0,0.5,5
89,0,0,0,0,0.05,0,0.5,0,0,0,0,0.45,5
90,0,0,0,0,0.052631579,0,0,0,0,0.210526316,0.736842105,0,16
91,0,0,0,0,0.052631579,0,0,0,0,0.947368421,0,0,16
92,0,0,0,0,0.052631579,0,0.315789474,0,0,0,0,0.631578947,5
93,0,0,0,0,0.052631579,0,0.473684211,0,0,0,0,0.473684211,5
94,0,0,0,0,0.052631579,0.263157895,0,0.052631579,0,0,0.631578947,0,15
95,0,0,0,0,0.055555556,0.222222222,0,0.055555556,0,0,0.666666667,0,15
96,0,0,0,0,0.0625,0,0.375,0,0,0,0,0.5625,5
97,0,0,0,0,0.066666667,0,0,0,0,0.933333333,0,0,15
98,0,0,0,0,0.083333333,0,0.916666667,0,0,0,0,0,19
99,0,0,0,0,0.111111111,0,0.111111111,0,0.111111111,0.111111111,0,0.555555556,5
100,0,0,0,0,0.125,0,0.125,0.25,0,0,0,0.5,3
101,0,0,0,0,0.133333333,0.066666667,0,0,0,0.8,0,0,15
102,0,0,0,0,0.133333333,0.133333333,0.066666667,0,0.2,0.133333333,0,0.333333333,19
103,0,0,0,0,0.137931034,0,0.034482759,0,0.24137931,0.344827586,0,0.24137931,10
